Place,Latitude,Longitude,God,Source,Frequency
Lycaon,33.9530321,-6.8959835,Hermes,Apollodorus,1
Callisto,18.602392,73.7712794,Hermes,Apollodorus,1
Coronis,46.4513284,13.3216192,Hermes,Apollodorus,1
Asclepius,55.6764707,12.5791924,Hermes,Apollodorus,1
Tartarus,-41.9380197,146.0335232,Hades,Apollodorus,1
Dicte,35.1628621,25.4450643,Zeus,Apollodorus,1
Metis,46.0195863,24.4056886,Zeus,Apollodorus,3
Tartarus,-41.9380197,146.0335232,Zeus,Apollodorus,1
Phoebe,-42.7643429,173.2277656,Athena,Apollodorus,1
Nereus,51.8366166,4.1601107,Hades,Apollodorus,1
Proto,-6.9655412,109.6694008,Zeus,Apollodorus,1
Terpsichore,47.2133408,-1.5623287,Apollo,Apollodorus,1
Urania,48.211547,16.3837538,Apollo,Apollodorus,1
Polymnia,42.3912703,-8.7024058,Apollo,Apollodorus,1
Pieria,46.520306,12.7972483,Dionysus,Apollodorus,1
Delos,37.39089,25.2717388,Apollo,Apollodorus,1
Iambe,52.3516386,4.8944483,Demeter,Apollodorus,1
Eleusis,38.047608,23.5348663,Zeus,Apollodorus,1
Egypt,26.2540493,29.2675469,Zeus,Apollodorus,1
Syria,34.8147886,38.4231781,Zeus,Apollodorus,1
Sicily,37.587794,14.155048,Zeus,Apollodorus,1
Greece,38.9953683,21.9877132,Zeus,Apollodorus,1
Myrmidon,-43.5739676,170.7186932,Zeus,Apollodorus,1
Nireus,36.6182535,27.8384055,Zeus,Apollodorus,1
Triops,42.1254086,2.7652386,Zeus,Apollodorus,1
Triops,42.1254086,2.7652386,Poseidon,Apollodorus,1
Naxos,37.8240743,15.2694003,Artemis,Apollodorus,1
Thessaly,39.5755929,22.1634449,Zeus,Apollodorus,2
Aetolia,37.9869121,23.7632638,Apollo,Apollodorus,2
Pleuron,38.4159947,21.4095166,Apollo,Apollodorus,2
Calydon,51.4840927,0.0274069,Apollo,Apollodorus,2
Sterope,41.8744219,12.6169822,Ares,Apollodorus,1
Aeolia,53.2993656,-2.2410472,Ares,Apollodorus,1
Evenus,51.896693,-8.4593409,Apollo,Apollodorus,1
Sterope,41.8744219,12.6169822,Dionysus,Apollodorus,1
Calydon,51.4840927,0.0274069,Dionysus,Apollodorus,1
Greece,38.9953683,21.9877132,Ares,Apollodorus,12
Calydon,51.4840927,0.0274069,Zeus,Apollodorus,1
Cepheus,59.3248494,18.0719228,Zeus,Apollodorus,2
Helle,50.9103911,5.8520458,Hermes,Apollodorus,1
Aeetes,41.889687,41.7750094,Zeus,Apollodorus,1
Phrontis,37.9639854,23.614443,Zeus,Apollodorus,1
Boeotia,38.3574477,23.1101239,Hera,Apollodorus,1
Aegina,46.5033665,8.3174138,Zeus,Apollodorus,1
Phocis,38.5001712,22.2490416,Zeus,Apollodorus,1
Messene,37.1749567,21.9204618,Dionysus,Apollodorus,1
Argia,43.4760696,-1.5410926,Hera,Apollodorus,1
Thessaly,39.5755929,22.1634449,Hera,Apollodorus,1
Eurydice,59.3251585,18.0685118,Apollo,Apollodorus,1
Dodona,42.6623452,21.1666427,Athena,Apollodorus,1
Greece,38.9953683,21.9877132,Athena,Apollodorus,4
Zetes,57.1609368,21.4650813,Zeus,Apollodorus,1
Butes,56.8459854,24.2211393,Poseidon,Apollodorus,1
Asterius,45.1539159,0.5192243,Ares,Apollodorus,1
Cometes,38.7826447,0.0392547,Ares,Apollodorus,1
Polyphemus,53.7084832,-2.4611547,Ares,Apollodorus,1
Lemnos,-36.3458411,145.4749511,Ares,Apollodorus,1
Mysia,52.2306073,21.0203915,Poseidon,Apollodorus,1
Colchis,-41.3140207,148.2466273,Poseidon,Apollodorus,1
Greece,38.9953683,21.9877132,Poseidon,Apollodorus,1
Aeetes,41.889687,41.7750094,Athena,Apollodorus,2
Corcyra,39.6217347,19.9180908,Hera,Apollodorus,1
Agamemnon,53.0764094,8.8156426,Zeus,Odyssey,1
Atreus,53.3010092,-4.6333582,Hermes,Odyssey,2
Iliad,31.2955678,77.1369731,Zeus,Odyssey,1
Phrontis,37.9639854,23.614443,Apollo,Odyssey,1
Scheria,52.0902485,4.4354384,Hades,Odyssey,1
Thereon,35.9307123,128.53893,Hephaestus,Odyssey,1
Aeolus,51.9155409,4.3455155,Hera,Odyssey,1
Mount Pelion,-20.9375455,148.7880595,Apollo,Odyssey,1
Ossa,43.2831471,-0.2682274,Apollo,Odyssey,1
Sidonia,-37.1632035,144.5597893,Ares,Odyssey,1
Lesbos,39.1758418,25.9989135,Apollo,Odyssey,1
Agamemnon,53.0764094,8.8156426,Apollo,Iliad,2
Atreus,53.3010092,-4.6333582,Apollo,Iliad,1
Thine,45.2601772,4.8232837,Ares,Iliad,1
Augia,45.8505426,-0.0967359,Ares,Iliad,1
Abantes,40.4060868,-3.5599122,Ares,Iliad,1
Orthè,43.5881674,-1.1782188,Hades,Iliad,1
Pieria,46.520306,12.7972483,Ares,Iliad,1
Ascanius,-34.9694329,117.9265762,Hades,Iliad,1
Tmolus,38.3335174,27.9824263,Hades,Iliad,2
Lycaon,33.9530321,-6.8959835,Athena,Iliad,2
Cretan,35.0400959,25.9901704,Hades,Iliad,2
Thoon,27.3774266,77.1178651,Ares,Iliad,1
Greece,38.9953683,21.9877132,Apollo,Iliad,8
Greece,38.9953683,21.9877132,Dionysus,Iliad,1
Greece,38.9953683,21.9877132,Hera,Iliad,4
Greece,38.9953683,21.9877132,Hades,Iliad,5
Xanthus,-35.2530816,149.0713013,Apollo,Iliad,1
Headlong,-44.5395893,168.5918104,Hades,Iliad,1
Somnus,-44.6642985,168.220869,Hephaestus,Iliad,1
Hermes,49.3571636,2.2461658,Athena,Iliad,2
Hellespont,52.4444374,13.4087955,Hephaestus,Iliad,1
Clang,23.0505788,113.3652699,Hephaestus,Iliad,1
Saturnia,42.6652237,11.5049888,Athena,Iliad,1
Lycaon,33.9530321,-6.8959835,Apollo,Iliad,1
Lampus,49.4326786,15.3344666,Ares,Iliad,1
Peleus,-77.474047,162.0771747,Athena,Iliad,1
Automedon,49.2567194,7.0411348,Hera,Iliad,3
Mysia,52.2306073,21.0203915,Hera,Iliad,1
Hellespont,52.4444374,13.4087955,Hermes,Iliad,1
Alcimus,40.805716,14.3478427,Hera,Iliad,1
Troas,46.0949315,22.2979167,Apollo,Iliad,1
Thebe,42.9657579,0.5902121,Apollo,Iliad,1
Iliad,31.2955678,77.1369731,Apollo,Iliad,1
Pollux,45.9278079,7.7853104,Hera,Iliad,1
Greece,38.9953683,21.9877132,Hephaestus,Iliad,2
Aulis,44.2167595,1.2838846,Apollo,Iliad,1
Sarpedon,-44.585308,168.241981,Ares,Iliad,2
Iliad,31.2955678,77.1369731,Hephaestus,Iliad,1
Asia Minor,39.0,32.0,Hephaestus,Iliad,1
